id,name
0,dota base ability
82,bear empty1
83,bear empty2
84,courier autodeliver
195,ringmaster spotlight
212,item ring of aquila
275,item trident
276,item combo breaker
296,tiny craggy exterior
303,special bonus unique jakiro dualbreath cooldown
314,lone druid entangling claws
315,special bonus unique invoker 11
316,riki permanent invisibility
318,special bonus unique lich 5
319,kunkka torrent storm
320,enchantress bunny hop
321,rattletrap overclocking
322,pudge eject
323,special bonus unique luna lunar orbit glaive count
324,special bonus unique earth spirit 4
328,item mango tree
329,meepo megameepo fling
332,special bonus unique pudge 5
333,lycan wolf bite
337,luna lunar grace
338,treant natures grasp
339,special bonus unique treant 8
340,special bonus unique treant 9
341,special bonus unique treant 10
342,special bonus unique treant 11
343,drow ranger multishot
344,special bonus exp boost 50
345,special bonus unique clinkz 6
346,special bonus unique enigma 4
347,special bonus unique riki 6
348,special bonus unique puck 5
350,special bonus unique necrophos 5
351,special bonus unique alchemist 6
352,ringmaster tame the beasts
353,special bonus unique ember spirit 6
380,ringmaster tame the beasts crack
382,special bonus unique snapfire 6
383,ringmaster the box
384,special bonus unique snapfire 7
385,ringmaster wheel
386,ringmaster impalement
387,ringmaster empty souvenir
388,ringmaster dark carnival souvenirs
389,ringmaster funhouse mirror
390,ringmaster whoopee cushion
391,miniboss radiance
392,ringmaster strongman tonic
393,roshan halloween levels
394,roshan halloween summon
395,roshan halloween fireball
396,special bonus unique ringmaster whip radius
397,special bonus unique ringmaster box cast range
398,special bonus unique ringmaster the box strong dispel and flying
399,special bonus unique ringmaster whip damage
400,special bonus unique ringmaster wheel radius
401,special bonus unique lion 5
402,special bonus unique nyx 4
403,special bonus unique ogre magi 4
404,special bonus unique omniknight 5
405,special bonus unique oracle 5
406,special bonus unique phoenix 6
407,special bonus unique puck 6
408,special bonus unique pudge 6
409,special bonus attack speed 55
410,special bonus unique silencer 6
411,special bonus unique skywrath 6
412,special bonus unique techies 5
413,special bonus unique tinker 5
414,special bonus unique tusk 7
416,special bonus unique venomancer 7
417,special bonus unique witch doctor 6
418,special bonus unique winter wyvern 5
419,juggernaut swift slash
420,special bonus unique dark seer 5
421,special bonus unique keeper of the light 5
422,special bonus unique keeper of the light 6
423,special bonus unique lone druid 11
424,special bonus unique ursa 7
425,terrorblade terror wave
426,special bonus unique phoenix 7
427,special bonus attack damage 75
428,special bonus cooldown reduction 6
429,special bonus hp 475
430,special bonus cast range 325
431,special bonus evasion 40
432,special bonus lifesteal 8
433,special bonus lifesteal 12
434,special bonus spell lifesteal 12
435,special bonus agility 80
436,special bonus mana break 15
437,special bonus strength 11
438,special bonus mp 275
439,special bonus corruption 25
440,special bonus mana reduction 11
441,special bonus spell lifesteal 25
442,special bonus attack damage 80
443,special bonus cast range 225
444,special bonus spell amplify 11
445,special bonus 30 crit 2
446,special bonus agility 5
447,special bonus strength 16
448,special bonus spell block 18
449,special bonus reincarnation 300
450,special bonus attack base damage 25
451,special bonus evasion 8
452,special bonus evasion 16
453,special bonus unique centaur 5
454,special bonus agility 7
455,special bonus cleave 140
456,special bonus spell amplify 16
457,special bonus night vision 800
458,special bonus hp 650
459,special bonus unique doom 7
460,special bonus attack damage 200
461,special bonus unique enigma 6
462,special bonus unique huskar 6
463,special bonus unique legion commander 6
